"slug","triplet_id","metaphor_span","selected","annotator_id"
"sewage-drinkingwater","sewage-drinkingwater_p0001_los","insulate millions from the parched whims of Mother Nature","","agent"
"ceres-water","ceres-water_p0008_but","the chemical fingerprint of full water molecules","","agent"
"perry-presannounce","perry-presannounce_p0014_texas","white-hot job growth was fueled by an oil-and-gas boom","","agent"
"black-hole","black-hole_p0002_writing","powerful jets","","agent"
"black-hole","black-hole_p0002_writing","jets shooting out of black hole candidate 4U 1630-47","","agent"
"weapons-georgiaschools","weapons-georgiaschools_p0012_officials","a turning point","","agent"
"weapons-georgiaschools","weapons-georgiaschools_p0012_officials","a turning point for school safety","","agent"
"ncharleston-mayor","ncharleston-mayor_p0020_the","the shooting was symptomatic of bigger and deeper problems in local policing","","agent"
"affluenza-trial","affluenza-trial_p0019_scott","fashioned a sentence","","agent"
"affluenza-trial","affluenza-trial_p0019_scott","under the thumb of the justice system","","agent"
"obama-islamic-state","obama-islamic-state_p0003_obama","besieged security forces","","agent"
"ag-education","ag-education_p0005_along","That spike","","agent"
"winter-salt","winter-salt_p0012_some","their use has been surging","","agent"
"business-apprenticeships","business-apprenticeships_p0008_the","Multiple pathways to adulthood","","agent"
"nigeria-president","nigeria-president_p0004_for","a powerful patronage network","","agent"
"nigeria-president","nigeria-president_p0004_for","A sense of futility wore on Nigerians","","agent"
"black-hole","black-hole_p0013_the","The jets are not always on","","agent"
"black-hole","black-hole_p0013_the","the black hole is feeding","","agent"
"selfdriving-future","selfdriving-future_p0019_people","a big family to haul around","","agent"
"us-climatechange","us-climatechange_p0007_this","dump on his successor","","agent"
"us-climatechange","us-climatechange_p0011_the","the window is closing rapidly for governments to avert the worst damage expected to occur this century","","agent"
"obama-immigration-speech","obama-immigration-speech_p0011_while","tracking down serious criminals and people who have recently crossed the border","","agent"
"selfdriving-future","selfdriving-future_p0041_cars","take over more of the driving","","agent"
"selfdriving-future","selfdriving-future_p0041_cars","Cars will slowly, steadily take over more of the driving","","agent"
